id,topic_key,topic_label,text,option_1,option_2,option_3,option_4,correct_index,correct_answer,explanation,time_limit_seconds
q1,bees,Le api,Quante ali ha un'ape mellifera adulta?,4,2,6,8,0,4,"Le api mellifere adulte hanno due paia di ali, per un totale di quattro.",20
q2,bees,Le api,Quale casta è responsabile della deposizione delle uova in una colonia sana?,Operaia,Regina,Fuco,Guardiana,1,Regina,La regina è la principale responsabile della deposizione delle uova nella colonia.,25
q3,bees,Le api,Quanto vive mediamente un'ape operaia durante la stagione di raccolta?,Circa 6 giorni,Circa 6 mesi,Circa 6 settimane,Circa 1 anno,2,Circa 6 settimane,Durante la stagione di raccolta un'ape operaia vive in media circa 6 settimane.,25
q4,bees,Le api,Come viene chiamata l'azione con cui le api regolano la temperatura all'interno dell'alveare?,Svernamento,Sciamatura,Nutrizione,Ventilazione,3,Ventilazione,Le api ventilano l'alveare muovendo rapidamente le ali per regolare temperatura e umidità.,25
q5,bees,Le api,In quale parte del corpo delle api si trova il nettare raccolto prima di essere trasformato in miele?,Stomaco sociale (borsa melaria),Intestino tenue,Sacco pollinico,Ghiandole ceripare,0,Stomaco sociale (borsa melaria),"Il nettare viene accumulato nello stomaco sociale, chiamato anche borsa melaria.",25
q6,bees,Le api,Quale delle seguenti NON è una funzione tipica delle api operaie?,Pulizia delle celle,Deposizione di uova fecondate,Raccolta di nettare e polline,Difesa dell'alveare,1,Deposizione di uova fecondate,"La deposizione di uova fecondate è compito della regina, non delle operaie.",25
q7,bees,Le api,Quale ruolo hanno principalmente i fuchi nella colonia?,Raccogliere polline,Produrre cera,Fecondare una regina vergine,Ventilare l'alveare,2,Fecondare una regina vergine,I fuchi hanno come ruolo principale la fecondazione di una regina vergine durante il volo nuziale.,25
q8,bees,Le api,Come viene definita la comunicazione danzata con cui le api indicano fonti di cibo?,Danza rotonda,Danza dell'addome,Danza a ventaglio,Danza a otto (waggle dance),3,Danza a otto (waggle dance),La danza a otto (waggle dance) comunica direzione e distanza di una fonte di cibo.,30
q9,pollination,Impollinazione,Perché le api sono così importanti per l'impollinazione delle colture agricole?,Perché visitano molti fiori e trasferiscono il polline,Perché producono molta cera,Perché difendono le piante dai parassiti,Perché consumano i semi difettosi,0,Perché visitano molti fiori e trasferiscono il polline,"Visitando molti fiori, le api trasferiscono il polline e favoriscono la fecondazione.",25
q10,pollination,Impollinazione,Quale pratica è più favorevole agli impollinatori in un frutteto?,Sfalciare tutti i fiori spontanei durante la fioritura,Lasciare fasce inerbite e fiorite tra i filari,Usare insetticidi ad ampio spettro al mattino,Rimuovere tutti gli alberi in fioritura spontanea,1,Lasciare fasce inerbite e fiorite tra i filari,Le fasce inerbite e fiorite offrono nettare e polline a molti impollinatori.,30
q11,pollination,Impollinazione,In quale momento della giornata è generalmente più sicuro trattare con fitofarmaci per ridurre l'impatto sulle api?,Al mattino presto durante la massima fioritura,A mezzogiorno con piena attività di volo,Al tramonto o di notte,In qualunque momento non fa differenza,2,Al tramonto o di notte,Trattare al tramonto o di notte riduce l'esposizione diretta delle api ai prodotti.,25
q12,pollination,Impollinazione,Che cosa si intende per impollinazione incrociata?,Impollinazione tra fiori della stessa pianta,Impollinazione operata solo dal vento,Impollinazione senza polline,Impollinazione tra fiori di piante diverse ma della stessa specie,3,Impollinazione tra fiori di piante diverse ma della stessa specie,L'impollinazione incrociata avviene tra fiori di piante diverse della stessa specie.,25
q13,pollination,Impollinazione,Quale tra questi insetti è considerato uno dei più importanti impollinatori agricoli?,Api mellifere,Coleotteri,Mosche carnivore,Scarafaggi del suolo,0,Api mellifere,L'ape mellifera è uno degli impollinatori agricoli più importanti e gestiti.,20
q14,pollination,Impollinazione,Perché la diversità floreale durante l'anno è importante per le api?,Per aumentare solo la produzione di cera,Per garantire fonti continue di nettare e polline,Per ridurre il numero di colonie,Per evitare la sciamatura,1,Per garantire fonti continue di nettare e polline,Fioriture scalari forniscono alle api risorse alimentari durante tutta la stagione.,25
q15,pollination,Impollinazione,Quale sintomo può indicare un'avvelenamento acuto da pesticidi in un apiario?,Api calme all'ingresso,Crescita di nuova covata,Api morte in gran numero davanti all'alveare,Maggiore raccolta di polline,2,Api morte in gran numero davanti all'alveare,Un accumulo di api morte davanti agli alveari può indicare avvelenamento acuto.,25
q16,hive_management,Gestione dell'alveare,Che cos'è la sciamatura in apicoltura?,La raccolta del miele,La morte della regina,La sostituzione dei telaini vecchi,La divisione naturale della colonia in due gruppi,3,La divisione naturale della colonia in due gruppi,"La sciamatura è la divisione naturale della colonia, con una parte delle api che segue una nuova regina.",25
q17,hive_management,Gestione dell'alveare,Quale pratica aiuta a prevenire la sciamatura indesiderata?,Aggiungere melari o telaini per aumentare lo spazio,Stringere l'alveare e ridurre lo spazio,Sospendere tutte le ispezioni,Eliminare le scorte di miele,0,Aggiungere melari o telaini per aumentare lo spazio,Fornire spazio aggiuntivo alla colonia riduce la congestione e il rischio di sciamatura.,25
q18,hive_management,Gestione dell'alveare,Quale parassita è uno dei problemi principali per le colonie di api mellifere in Europa?,Mosca domestica,Varroa destructor,Cimice asiatica,Afide verde,1,Varroa destructor,Varroa destructor è un acaro parassita che indebolisce le colonie se non viene controllato.,25
q19,hive_management,Gestione dell'alveare,Perché è importante rinnovare periodicamente i telaini con cera vecchia?,Per aumentare il peso dell'alveare,Per diminuire la produzione di covata,Per ridurre residui e patogeni accumulati nella cera,Per facilitare la sciamatura,2,Per ridurre residui e patogeni accumulati nella cera,La cera vecchia può accumulare residui e spore; rinnovarla migliora la sanità dell'alveare.,25
q20,hive_management,Gestione dell'alveare,Cosa indica generalmente una covata compatta e uniforme?,Una regina vecchia e difettosa,Una forte presenza di varroa,Una carenza di nutrimento,Una buona qualità di regina e colonia sana,3,Una buona qualità di regina e colonia sana,Una covata compatta è spesso segno di una regina fertile e di una colonia ben gestita.,25
q21,hive_management,Gestione dell'alveare,Quale comportamento può indicare che una colonia è orfana (senza regina)?,Rumore più forte e agitazione sulle api,Calma e volo regolare,Maggiore raccolta di nettare,Formazione di barbe di api all'esterno,0,Rumore più forte e agitazione sulle api,Le colonie orfane spesso mostrano agitazione e un ronzio più forte rispetto alla norma.,25
q22,bee_products,Prodotti dell'alveare,Che cos'è il miele millefiori?,Miele prodotto solo da fiori di tiglio,Miele ottenuto da nettare di molte specie floreali,Miele prodotto da fiori di agrumi,Miele senza polline,1,Miele ottenuto da nettare di molte specie floreali,Il miele millefiori deriva da nettare raccolto su molte specie di piante diverse.,20
q23,bee_products,Prodotti dell'alveare,Quale componente principale rende il miele un alimento ad alta densità energetica?,Proteine,Grassi,Carboidrati (zuccheri),Vitamine,2,Carboidrati (zuccheri),"Il miele è ricco di zuccheri semplici, soprattutto fruttosio e glucosio.",20
q24,bee_products,Prodotti dell'alveare,Che cos'è la propoli?,Un tipo di miele cristallizzato,Un parassita della covata,Un sostituto dello zucchero,Una sostanza resinosa raccolta dalle api per sigillare e disinfettare l'alveare,3,Una sostanza resinosa raccolta dalle api per sigillare e disinfettare l'alveare,La propoli è una sostanza resinosa che le api usano per sigillare fessure e sanificare l'alveare.,25
q25,bee_products,Prodotti dell'alveare,Quale prodotto dell'alveare è ricco di proteine e viene utilizzato come integratore?,Polline,Cera d'api,Miele,Acqua,0,Polline,"Il polline d'api è ricco di proteine, vitamine e altri nutrienti.",20
q26,bee_products,Prodotti dell'alveare,"Cosa caratterizza un miele monoflora (es. acacia, castagno)?",È prodotto in un solo alveare,Deriva prevalentemente dal nettare di una singola specie vegetale,Non contiene polline,Non cristallizza mai,1,Deriva prevalentemente dal nettare di una singola specie vegetale,Un miele monoflora deriva in gran parte dal nettare di una singola specie di pianta.,25
q27,bee_products,Prodotti dell'alveare,Perché il miele cristallizza?,Perché diventa vecchio,Per presenza di acqua piovana,"Per la naturale precipitazione degli zuccheri, soprattutto glucosio",Perché è stato riscaldato,2,"Per la naturale precipitazione degli zuccheri, soprattutto glucosio",La cristallizzazione è un processo naturale legato al rapporto tra glucosio e fruttosio.,25
q28,bee_products,Prodotti dell'alveare,Che cos'è la pappa reale?,Il primo miele prodotto dalle api,Un tipo di cera particolarmente pura,Un parassita della regina,La secrezione con cui le api nutrono le larve e la regina,3,La secrezione con cui le api nutrono le larve e la regina,La pappa reale è una secrezione delle ghiandole ipofaringee usata per nutrire larve e regina.,25
q29,hive_management,Gestione dell'alveare,Quale attrezzatura è fondamentale per la sicurezza dell'apicoltore?,Tuta o giacca protettiva con velo,Scarpe aperte,Guanti in lana,Occhiali da sole,0,Tuta o giacca protettiva con velo,"La tuta o giacca con velo protegge da punture, soprattutto sul viso e sul corpo.",20
q30,hive_management,Gestione dell'alveare,Perché si utilizza l'affumicatore durante le ispezioni?,Per allontanare le api dall'alveare,Per calmare le api,Per riscaldare il miele,Per disinfettare i telaini,1,Per calmare le api,"Il fumo maschera i feromoni di allarme e induce le api a riempirsi di miele, rendendole più calme.",20
q31,hive_management,Gestione dell'alveare,Quale tra questi è un comportamento rispettoso verso le api durante la visita?,Colpire i telaini per far volare le api,Togliere il velo per vedere meglio,"Movimenti lenti e decisi, evitando colpi",Usare profumi intensi,2,"Movimenti lenti e decisi, evitando colpi",Movimenti lenti e controllati riducono lo stress e l'aggressività delle api.,20
q32,hive_management,Gestione dell'alveare,Cosa indica una forte presenza di celle reali lungo i bordi dei telaini?,Solo sostituzione silenziosa della regina,Assenza di varroa,Alveare orfano da mesi,Probabile preparazione alla sciamatura,3,Probabile preparazione alla sciamatura,Molte celle reali sul bordo inferiore sono spesso associate a sciamatura imminente.,25
q33,bee_products,Prodotti dell'alveare,Quale colore del miele è tipico degli mieli di acacia italiani?,Molto chiaro quasi trasparente,Molto scuro,Verde,Rosso intenso,0,Molto chiaro quasi trasparente,"Il miele di acacia è noto per il colore molto chiaro, quasi incolore.",20
q34,hive_management,Gestione dell'alveare,Perché è utile marcare la regina con un colore?,Perché sia più decorativa,Per individuarla più facilmente e conoscere l'anno di nascita,Per aumentare la produzione di miele,Perché non possa volare,1,Per individuarla più facilmente e conoscere l'anno di nascita,Il colore di marcatura segue un codice internazionale per identificare l'anno e facilita il ritrovamento della regina.,25
q35,pollination,Impollinazione,Quale tra questi fattori contribuisce maggiormente alla perdita di habitat per gli impollinatori?,Aumento dei prati fioriti,Introduzione di siepi e filari,Intensificazione agricola e monocolture,Riduzione dell'uso del suolo,2,Intensificazione agricola e monocolture,Le monocolture e l'eliminazione di elementi naturali riducono habitat e risorse per gli impollinatori.,30
q36,pollination,Impollinazione,Come possono contribuire i giardini urbani alla tutela delle api?,Usando solo prato rasato,Rimuovendo tutte le piante spontanee,Illuminando fortemente le piante di notte,Coltivando fiori melliferi e evitando pesticidi inutili,3,Coltivando fiori melliferi e evitando pesticidi inutili,Giardini con fiori melliferi e pochi trattamenti chimici offrono rifugio e nutrimento alle api.,25
q37,hive_management,Gestione dell'alveare,Perché è importante monitorare regolarmente lo stato delle colonie?,"Per individuare precocemente problemi di salute, spazio o nutrizione",Per aumentare il numero di punture,Solo per controllare la quantità di miele,Per disturbarle e ridurre la covata,0,"Per individuare precocemente problemi di salute, spazio o nutrizione","Ispezioni regolari permettono di intervenire in tempo su varroa, fame, orfanità e congestione.",25
q38,bees,Le api,"Nel linguaggio delle foraggere, cosa comunica soprattutto la durata del tratto rettilineo ('corrida') nella danza a otto?",Solo la ricchezza di polline,La distanza approssimativa della fonte di cibo,L'età della regina,Il colore del fiore,1,La distanza approssimativa della fonte di cibo,La durata del tratto rettilineo è correlata alla distanza della risorsa; l’angolo rispetto alla verticale indica la direzione.,25
q39,bees,Le api,Le operaie riconoscono le compagne della stessa colonia principalmente grazie a:,Solo alla lunghezza delle ali,Il rumore del volo,Profilo cuticolare e feromoni,La temperatura corporea,2,Profilo cuticolare e feromoni,Le api discriminano le conspecifiche tramite miscela di idrocarburi cuticolari e altri segnali chimici.,25
q40,bees,Le api,Cos'è la trofallassi tra operaie?,Deposizione di uova,Combattimento tra casta,Costruzione di cera,Scambio di liquidi alimentari e informazioni,3,Scambio di liquidi alimentari e informazioni,La trofallassi è la trasmissione bocca a bocca di cibo e può coinvolgere anche segnali ormonali.,25
q41,bees,Le api,Le operaie addette alla pulizia del nido e alla rimozione dei cadaveri sono spesso chiamate:,Spazzine / portinerie,Foraggere,Nutrici,Cerifere,0,Spazzine / portinerie,Le spazzine trasportano fuori corpi morti e detriti per mantenere l’igiene del nido.,25
q42,bees,Le api,La danza rotonda comunica in genere:,Una fonte molto lontana,Una fonte vicina all'alveare,Un pericolo imminente,La fine della stagione,1,Una fonte vicina all'alveare,Per risorse prossime all’alveare le api usano spesso la danza rotonda; per distanze maggiori prevale la danza a otto.,25
q43,bees,Le api,Le api ventilano il nido battendo le ali per:,Deporre uova,Costruire cera,Ridurre CO₂ e regolare temperatura/umidità,Accoppiarsi,2,Ridurre CO₂ e regolare temperatura/umidità,"La ventilazione è fondamentale per scambi gassosi e termoregolazione, soprattutto con covata densa.",25
q44,bees,Le api,Un volo di orientamento delle giovani operaie serve soprattutto a:,Deporre polline,Eliminare la regina,Produrre propoli,Imparare la posizione dell'alveare rispetto al paesaggio,3,Imparare la posizione dell'alveare rispetto al paesaggio,Prima del foraggio effettivo le operaie effettuano voli di orientamento per memorizzare riferimenti visivi e odori.,25
q45,bees,Le api,Le antenne dell'ape sono importanti soprattutto per:,Percezione chimica e tattile dell'ambiente,Solo equilibrio in volo,Emissione di cera,Digestione del polline,0,Percezione chimica e tattile dell'ambiente,"Ricettori olfattivi e tattili sulle antenne guidano foraggio, riconoscimento sociale e valutazione dei fiori.",25
q46,bees,Le api,Un'ape foraggera che trova una buona fonte e torna al nido può reclutare compagne tramite:,Solo odor di propoli,Danze e contatto antennale,Solo fuco,Deposito di cera,1,Danze e contatto antennale,"Oltre alla danza, contatti e condivisione di campioni odorosi aiutano a reclutare altre foraggere.",25
q47,bees,Le api,"In termini biologici, la sciamatura rappresenta soprattutto:",Perdita accidentale di api,Solo raccolta di polline,Riproduzione della colonia a livello di superorganismo,Malattia della covata,2,Riproduzione della colonia a livello di superorganismo,Lo sciame è il modo con cui una colonia si moltiplica: una parte delle api lascia con una regina verso una nuova sede.,25
q48,bees,Le api,"Dopo lo sciame principale, nella colonia madre restano tipicamente:",Solo fuchi,Sempre la vecchia regina,Nessuna covata,Operaie e celle reali con nuove regime in sviluppo,3,Operaie e celle reali con nuove regime in sviluppo,Nello sciame primario parte la vecchia regina con una frazione delle operaie; nel nido restano celle reali e nuove regime.,25
q49,bees,Le api,Le celle reali pendenti lungo il margine del favo sono destinate a:,Sviluppare nuove regime,Deporre uova di fuco,Conservare miele,Raccogliere polline,0,Sviluppare nuove regime,Le celle reali contengono larve femminili nutrite abbondantemente per diventare regime vergini.,25
q50,bees,Le api,"In clima temperato, la sciamatura naturale è più frequente in genere:",In pieno inverno,Tarda primavera / inizio estate,Solo in autunno secco,Durante la neve,1,Tarda primavera / inizio estate,"Con forte covata e risorse disponibili, la propensione allo sciame aumenta verso la bella stagione.",25
q51,bees,Le api,Una colonia molto popolosa e senza spazio sufficiente di covata tende a:,Estinguersi in giorni,Produrre solo cera senza covata,Aumentare il rischio di sciamatura,Perdere tutte le ali,2,Aumentare il rischio di sciamatura,Congestione e regina in buone condizioni favoriscono preparativi per lo sciame.,25
q52,bees,Le api,"Per ridurre sciami indesiderati l'apicoltore può, tra le altre cose:",Chiudere per mesi il volo,Eliminare tutta la covata,Togliere tutte le operaie anziane,"Dare spazio (melari/telai), dividere o gestire celle reali",3,"Dare spazio (melari/telai), dividere o gestire celle reali","Spazio, giovane regina e gestione delle celle reali sono leve classiche di prevenzione.",25
q53,bees,Le api,Il volo nuziale della regina vergine serve a:,Accoppiarsi con più fuchi in volo,Deporre subito uova fecondate senza accoppiamento,Solo ventilare il nido,Migrare in altro continente,0,Accoppiarsi con più fuchi in volo,La regina si accoppia tipicamente con più fuchi durante uno o più voli nuziali.,25
q54,bees,Le api,Una sciamatura secondaria può verificarsi quando:,Non esiste mai,Una nuova regina vergine esce con un nuovo sciame,Solo in laboratorio,Solo senza miele,1,Una nuova regina vergine esce con un nuovo sciame,"Dopo lo sciame primario, altre regime possono portare sciami secondari se la colonia resta molto forte.",25
q55,bees,Le api,Il feromone Nasonov secreto dalle operaie serve soprattutto a:,Uccidere la varroa,Cristallizzare il miele,Segnare orientamento verso sedi (es. ingresso alveare o sciame),Fermare la covata,2,Segnare orientamento verso sedi (es. ingresso alveare o sciame),Le operaie sollevano l’addome e diffondono Nasonov per guidare compagne verso una posizione.,25
q56,bees,Le api,Catturare uno sciame appollaiato su un ramo si fa di solito:,Spruzzando benzina,Lasciandolo sempre al sole fino a morte,Solo di notte senza mai aprire,Scuotendo o tagliando il ramo in un contenitore e trasferendo in arnia,3,Scuotendo o tagliando il ramo in un contenitore e trasferendo in arnia,Si usa un cestello/scatola sciame e si travasa con calma in arnia predisposta con telai.,25
q57,bees,Le api,"Uno ""sciame artificiale"" può essere creato per:",Moltiplicare colonie o rinfoltire nuclei,Aumentare le punture,Eliminare la propoli,Sostituire l'acqua piovana,0,Moltiplicare colonie o rinfoltire nuclei,La divisione controllata di telai con covata e api replica in parte il processo naturale.,25
q58,bees,Le api,Subito dopo l'ingresso di uno sciame in arnia nuova è buona norma:,Chiudere tutto per tre mesi,Controllare costruzione su telai/fondazione e nutrire se risorse scarse,Rimuovere la regina,Aggiungere solo fuchi,1,Controllare costruzione su telai/fondazione e nutrire se risorse scarse,Le riserve e la costruzione di favo vanno monitorate per evitare fame e ripartenza dello sciame.,25
q59,hive_management,Gestione dell'alveare,Varroa destructor è un:,Virus intestinale,Fungo del favo,Acaro ectoparassita,Insetto predatore delle api,2,Acaro ectoparassita,"La varroa si attacca alle api e alla covata, veicola virus e indebolisce la colonia.",25
q60,hive_management,Gestione dell'alveare,Ali deformi nelle operaie emergenti sono spesso correlate a:,Solo freddo notturno,Troppo miele chiaro,Solo mancanza di polline,Virus (es. DWV) in associazione a carica elevata di varroa,3,Virus (es. DWV) in associazione a carica elevata di varroa,DWV e altri virus si moltiplicano nel ciclo varroa–ape e si manifestano con sintomi alare.,25
q61,hive_management,Gestione dell'alveare,Nosema apis / ceranae è:,Un microsporidio che colpisce l'intestino,Un acaro,Un batterio della covata,Un nematode,0,Un microsporidio che colpisce l'intestino,I Nosema sono patogeni unicellulari che possono ridurre la longevità e l’efficienza delle operaie.,25
q62,hive_management,Gestione dell'alveare,La calcificazione (chalkbrood) è dovuta a:,Batterio,Fungo Ascosphaera su larve,Acaro,Virus DWV,1,Fungo Ascosphaera su larve,Le larve infette si momificano in masse gessose bianche o grigiastre.,25
q63,hive_management,Gestione dell'alveare,L'acaro delle trachee (Acarapis woodi) vive:,Nel miele,Solo sulle ali,Nel sistema tracheale delle api,Nel terreno,2,Nel sistema tracheale delle api,È un parassita interno meno comune di Varroa ma storicamente noto in apicoltura.,25
q64,hive_management,Gestione dell'alveare,"La ""sparizione"" massiccia di operaie (sindrome tipo CCD) è considerata in genere:",Dovuta a un solo virus identificato,Normale ogni primavera,Curabile solo con zucchero invertito,"Multifattoriale (patogeni, nutrizione, pesticidi, gestione…)",3,"Multifattoriale (patogeni, nutrizione, pesticidi, gestione…)",La letteratura scientifica descrive interazioni complesse più che una singola causa.,25
q65,hive_management,Gestione dell'alveare,La melata prodotta dagli afidi può favorire:,Sviluppo di muffe fuligginose sulle foglie,Crescita più lenta delle piante,Eliminazione della varroa,Cristallizzazione istantanea del miele,0,Sviluppo di muffe fuligginose sulle foglie,I funghi fuligginosi crescono sulle melate escrete su foglie e frutti.,25
q66,hive_management,Gestione dell'alveare,"Gli acidi organici contro varroa (es. formico, ossalico) vanno usati:",In qualsiasi momento senza leggere etichetta,"Seguendo scheda tecnica, dosi e limitazioni (covata, temperatura, residui)",Solo con colonie deboli,Solo a dicembre al polo sud,1,"Seguendo scheda tecnica, dosi e limitazioni (covata, temperatura, residui)","Sicurezza per api, operatore e qualità dei prodotti dell’alveare dipende dal rispetto delle norme.",25
q67,hive_management,Gestione dell'alveare,L'affumicatore serve principalmente a:,Nutrire le api,Sterilizzare i telai,Calmare le api mascherando feromoni di allarme e inducendo carica di miele,Misurare la temperatura,2,Calmare le api mascherando feromoni di allarme e inducendo carica di miele,Il fumo moderato riduce la probabilità di punture durante la manipolazione.,25
q68,hive_management,Gestione dell'alveare,Nell'affumicatore è opportuno bruciare materiali che:,Producano fiamma alta continua,Siano sempre impregnati di benzina,Siano solo plastica,Brucino lentamente senza tossicità per api e apicoltore,3,Brucino lentamente senza tossicità per api e apicoltore,"Si usano paglia, cartone, trucioli specifici; evitare sostanze nocive o fumi troppo caldi.",25
q69,hive_management,Gestione dell'alveare,La leva serve a:,Sollevare telai incollati da propoli o cera,Tagliare la regina,Misurare il peso,Ventilare,0,Sollevare telai incollati da propoli o cera,Aiuta a non danneggiare i favi quando i telai aderiscono ai margini.,25
q70,hive_management,Gestione dell'alveare,Il velo o maschera apistica protegge soprattutto:,Solo le mani,Viso e collo,Solo i piedi,Solo i telai,1,Viso e collo,Le punture a occhi e labbra sono particolarmente pericolose; il velo riduce il rischio.,25
q71,hive_management,Gestione dell'alveare,Un escludi-regina serve a:,Far entrare solo i fuchi,Riscaldare il melario,Impedire alla regina di salire a deporre uova nel melario,Bloccare il volo di tutte le api,2,Impedire alla regina di salire a deporre uova nel melario,Si ottiene miele senza covata (né uova/larve) nei telai da estrazione.,25
q72,hive_management,Gestione dell'alveare,La bilancia sotto arnia è utile per:,Contare le singole api,Misurare solo la regina,Decorazione,Monitorare peso e andamento di scorte/raccolta,3,Monitorare peso e andamento di scorte/raccolta,"Curve di peso aiutano a decidere su nutrizione, raccolto e vigilanza sanitaria.",25
q73,hive_management,Gestione dell'alveare,"Registri di apiario (trattamenti, movimenti, produzione) sono importanti per:","Tracciabilità , normativa e buona gestione",Solo decoro,Nessun motivo,Solo vendere cera,0,"Tracciabilità , normativa e buona gestione",In molti contesti sono richiesti o fortemente consigliati per sicurezza alimentare e sanità.,25
q74,hive_management,Gestione dell'alveare,Un fumo eccessivo o troppo caldo può:,Essere indifferente,Stressare o bruciare le api,Eliminare la varroa da solo,Sostituire la regina,1,Stressare o bruciare le api,Il fumo va dosato: poche puff mirate sono meglio di fumo denso e prolungato.,25
q75,bee_products,Prodotti dell'alveare,Il veleno d'ape contiene soprattutto:,Solo zucchero,Solo cera,"Peptidi come melittina, apamina e enzimi (es. fosfolipasi)",Nettare concentrato,2,"Peptidi come melittina, apamina e enzimi (es. fosfolipasi)",È una complessa miscela bioattiva prodotta dalle ghiandole acido e alcalino.,25
q76,bee_products,Prodotti dell'alveare,Una reazione anafilattica a puntura di ape:,È sempre normale,Si cura solo con miele,Succede solo ai fuchi,È un'emergenza medica potenzialmente letale in soggetti sensibilizzati,3,È un'emergenza medica potenzialmente letale in soggetti sensibilizzati,Chi ha allergie note deve avere piano terapeutico; l’apicoltore deve conoscere i rischi.,25
q77,bee_products,Prodotti dell'alveare,La propoli per le api è soprattutto:,Resine vegetali raccolte e mescolate a secrezioni e cera,Un tipo di miele scuro,Polline pressato,Acqua di fiori,0,Resine vegetali raccolte e mescolate a secrezioni e cera,"Viene usata per sigillare, incollare e sanificare superfici nel nido.",25
q78,bee_products,Prodotti dell'alveare,La pappa reale è prodotta da:,La regina,Ghiandole delle operaie (ipofaringee e mandibolari),I fuchi,I fiori,1,Ghiandole delle operaie (ipofaringee e mandibolari),È secreta dalle operaie e somministrata in dosi diverse a larve di casta diversa.,25
q79,bee_products,Prodotti dell'alveare,Il veleno d'ape per uso terapeutico o di laboratorio richiede:,Solo raccolta manuale con pinze,Nessuna cautela,Dispositivi e procedure specializzate e normative,Solo miele diluito,2,Dispositivi e procedure specializzate e normative,La raccolta e commercializzazione seguono regole stringenti per sicurezza e qualità.,25
q80,bee_products,Prodotti dell'alveare,"Dopo una puntura, la prima cosa utile è spesso:",Premere forte il veleno dentro,Applicare miele caldo obbligatoriamente,Ignorare sempre la reazione,Rimuovere rapidamente il pungiglione per ridurre l'iniezione,3,Rimuovere rapidamente il pungiglione per ridurre l'iniezione,Il pungiglione può continuare a iniettare; raschiarlo via riduce il carico di veleno.,25
q81,bee_products,Prodotti dell'alveare,Il polline d'api come alimento umano è apprezzato per:,"Proteine, vitamine, minerali e fitocomposti",Solo grassi saturi,Assenza totale di zuccheri,Solo alcool,0,"Proteine, vitamine, minerali e fitocomposti",È considerato un superfood; attenzione a qualità e allergie.,25
q82,bee_products,Prodotti dell'alveare,L'apitossicazione massiccia (molte punture) può essere pericolosa perché:,Non inietta veleno,Somma dose di tossine e mediatori dell'infiammazione,Succede solo d'inverno,È solo estetica,1,Somma dose di tossine e mediatori dell'infiammazione,"Anche in non allergici, molte punture possono dare shock tossico.",25
q83,bee_products,Prodotti dell'alveare,La melittina nel veleno d'ape è nota per:,Dolcificare il miele,Produrre cera,Proprietà lisante sulle membrane cellulari,Eliminare la covata,2,Proprietà lisante sulle membrane cellulari,È uno dei principali peptidi citotossici del veleno.,25
